"","Name","City","Country"
"1189","Barcelona International Airport","Barcelona","Spain"
"1195","Getafe Air Base","Madrid","Spain"
"1199","Adolfo Suárez Madrid–Barajas Airport","Madrid","Spain"
"1215","Torrejón Airport","Madrid","Spain"
"1218","Cuatro Vientos","Madrid","Spain"
"2691","General José Antonio Anzoategui International Airport","Barcelona","Venezuela"
"6303","Barcelona Cruise Terminal","Barcelona","Spain"
"8047","Atocha","Madrid","Spain"
"8054","Chamartin Station","Madrid","Spain"
"8056","Aeroport","Barcelona","Spain"
"8057","Passeig de Gracia","Barcelona","Spain"
"8058","Sants","Barcelona","Spain"
"8847","Barajas Station","Madrid","Spain"
"9157","Aeropuerto T4 Madrid Metro","Madrid","Spain"
"10034","Estacio de Franca","Barcelona","Spain"
"10265","Placa d Espanya Station","Barcelona","Spain"
"10436","Cuatro Vientos Airport","Madrid","Spain"
"11436","Barcelona-Sants","Barcelona","Spain"
"11438","Madrid Estacion Sur","Madrid","Spain"
